Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Web,Chrome 96.0.4664.45,,,2021-12-02 18:30:52,2021-12-02 18:33:48,2m - 55.938s,PASSED
,,,,,,,
Test Cases/SehatQ/Web/Login,Chrome 96.0.4664.45,,,2021-12-02 18:30:53,2021-12-02 18:31:17,24.729s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 96.0.4664.45,,,2021-12-02 18:30:53,2021-12-02 18:30:58,5.179s,PASSED
sehatq = new com.sehatq.web.WEB(),Chrome 96.0.4664.45,,,2021-12-02 18:30:58,2021-12-02 18:30:58,0.086s,PASSED
"sehatq.loginsehatq(Email, Password, Action)",Chrome 96.0.4664.45,,,2021-12-02 18:30:58,2021-12-02 18:31:17,18.954s,PASSED
,,,,,,,
Test Cases/SehatQ/Web/Login,Chrome 96.0.4664.45,,,2021-12-02 18:31:17,2021-12-02 18:31:32,14.995s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 96.0.4664.45,,,2021-12-02 18:31:17,2021-12-02 18:31:21,3.704s,PASSED
sehatq = new com.sehatq.web.WEB(),Chrome 96.0.4664.45,,,2021-12-02 18:31:21,2021-12-02 18:31:21,0.000s,PASSED
"sehatq.loginsehatq(Email, Password, Action)",Chrome 96.0.4664.45,,,2021-12-02 18:31:21,2021-12-02 18:31:32,11.277s,PASSED
,,,,,,,
Test Cases/SehatQ/Web/Login,Chrome 96.0.4664.45,,,2021-12-02 18:31:32,2021-12-02 18:31:47,14.697s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 96.0.4664.45,,,2021-12-02 18:31:32,2021-12-02 18:31:35,2.760s,PASSED
sehatq = new com.sehatq.web.WEB(),Chrome 96.0.4664.45,,,2021-12-02 18:31:35,2021-12-02 18:31:35,0.000s,PASSED
"sehatq.loginsehatq(Email, Password, Action)",Chrome 96.0.4664.45,,,2021-12-02 18:31:35,2021-12-02 18:31:47,11.929s,PASSED
,,,,,,,
Test Cases/SehatQ/Web/Register,Chrome 96.0.4664.45,,,2021-12-02 18:31:47,2021-12-02 18:32:29,41.986s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 96.0.4664.45,,,2021-12-02 18:31:48,2021-12-02 18:31:50,2.793s,PASSED
sehatq = new com.sehatq.web.WEB(),Chrome 96.0.4664.45,,,2021-12-02 18:31:50,2021-12-02 18:31:50,0.000s,PASSED
"sehatq.register(nama, Email, Password, Action, nomortlp, gender, jenisidentitas, nomoridentitas)",Chrome 96.0.4664.45,,,2021-12-02 18:31:50,2021-12-02 18:32:29,38.824s,PASSED
,,,,,,,
Test Cases/SehatQ/Web/Cart,Chrome 96.0.4664.45,,,2021-12-02 18:32:29,2021-12-02 18:33:48,1m - 18.771s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 96.0.4664.45,,,2021-12-02 18:32:30,2021-12-02 18:32:33,2.968s,PASSED
sehatq = new com.sehatq.web.WEB(),Chrome 96.0.4664.45,,,2021-12-02 18:32:33,2021-12-02 18:32:33,0.000s,PASSED
"sehatq.cart(email, password, carilokasi, labelalamat, namapenerima, notlpnpenerima, catatan, pengiriman, jenispengiriman, pembayaran)",Chrome 96.0.4664.45,,,2021-12-02 18:32:33,2021-12-02 18:33:48,1m - 15.503s,PASSED
